coin_id,priority_score,binance,bybit,kucoin,networks,alternative_exchanges
cardano,9.3433,True,True,True,cardano,"ascendex (bitmax), azbit, biconomy.com, bingx, bit, bit2me, bitbank, bitcastle, bitget, bitkan, bitkub, bitmart, bitopro, bitrue, bitstamp, bitstorage, bitunix, bitvavo, bvox, bydfi, coinbase exchange, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, dex-trade, digifinex, earnbit, fmfw.io, gate, gmo japan, grovex, hibt, hotcoin, htx, icrypex, kcex, kraken, latoken, lbank, mexc, okx, orangex, p2b, phemex, pionex, pointpay, safebit, tapbit, toobit, trubit, weex, whitebit, xt.com"
wrapped-steth,8.3821,False,False,False,"ethereum, unichain","astroport (neutron), balancer v2, balancer v3 (ethereum), bancor (v2), carbon defi (ethereum), curve (ethereum), maya protocol, pancakeswap v3 (ethereum), sushiswap, uniswap v2 (ethereum), uniswap v3 (ethereum), uniswap v4 (ethereum), uniswap v4 (unichain), wombat (arbitrum)"
wrapped-beacon-eth,8.1514,True,False,False,"binance-smart-chain, ethereum","curve (ethereum), mudrex, pancakeswap v3 (bsc), pancakeswap v3 (ethereum), uniswap v3 (bsc)"
chainlink,9.1955,True,True,True,"abstract, apechain, arbitrum-one, astar, avalanche, base, berachain, binance-smart-chain, bitlayer, blast, bob-network, botanix, bsquared-network, celo, core, corn, cronos, cronos-zkevm, energi, ethereum, etherlink, fantom, fraxtal, harmony-shard-0, hashkey-chain, hedera-hashgraph, hemi, huobi-token, hydration, hyperevm, ink, katana, kroma, lens, linea, lisk, mantle, merlin-chain, metal-l2, metis-andromeda, milkomeda-cardano, mint, mode, monad, moonbeam, moonriver, near-protocol, neo, opbnb, optimistic-ethereum, osmosis, plume-network, polygon-pos, polygon-zkevm, ronin, rootstock, scroll, sei-v2, shibarium, solana, soneium, sonic, sora, starknet, superseed, taiko, unichain, wemix-network, world-chain, x-layer, xdai, zircuit, zksync, zora-network","azbit, biconomy.com, bingx, bit, bitbank, bitget, bitkub, bitmart, bitrue, bitstamp, bitstorage, bitunix, bitvavo, blofin, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, earnbit, gate, gemini, grovex, hibt, hotcoin, htx, icrypex, itbit, kraken, latoken, lbank, mexc, okx, ourbit, p2b, phemex, pionex, pointpay, qmall, safebit, slex, tapbit, tokpie, toobit, uniswap v3 (arbitrum one), uniswap v3 (ethereum), weex, whitebit, xt.com, zoomex"
wrapped-bitcoin,8.9594,True,True,False,"aptos, avalanche, base, berachain, binance-smart-chain, bob-network, ethereum, optimistic-ethereum, osmosis, sei-v2, solana, soneium, sonic, swellchain, telos, unichain","aerodrome slipstream, atlantis, azbit, bex, bitrue, blackhole v3, defive, dexalot, dragonswap v2, hyperion, kodiak v3, kraken, kura v3, kyo finance v3, lfj v2.2 (avalanche), metropolis dlmm (sonic), mexc, native, osmosis, pancakeswap v3 (bsc), phemex, qmall, sailor, shadow exchange, sonex, sushiswap v3 (optimism), swapx algebra, tokpie, uniswap v3 (base), uniswap v3 (ethereum), uniswap v3 (optimism), uniswap v4 (base), uniswap v4 (ethereum), uniswap v4 (optimism), uniswap v4 (unichain), velodrome finance slipstream (unichain), velodrome slipstream (optimism), yaka finance v3"
ethena-usde,9.0499,False,True,True,"aptos, arbitrum-one, avalanche, base, berachain, binance-smart-chain, blast, ethereum, fraxtal, hyperevm, hyperliquid, kava, linea, manta-pacific, mantle, metis-andromeda, mode, morph-l2, optimistic-ethereum, scroll, solana, swellchain, the-open-network, x-layer, zircuit, zksync","aerodrome slipstream, agni finance, bitget, bitmart, bitunix, camelot v3, curve (ethereum), curve (fraxtal), curve (hyperevm), fluid (arbitrum), gate, gliquid, hx finance, hybra finance v3, hyperliquid, hyperswap v3, kittenswap algebra, kittenswap v3, laminar, merchant moe liquidity book (mantle), meteora, mexc, orca, pancakeswap v3 (arbitrum), project x, ramses v3 (hyperevm), ston.fi (v2), thruster v3, ultrasolid v3, uniswap v3 (arbitrum one), uniswap v3 (avalanche), uniswap v3 (base), uniswap v3 (ethereum), uniswap v4 (ethereum), velodrome finance v2 (swellchain)"
avalanche-2,9.1674,True,True,True,avalanche-2,"ascendex (bitmax), azbit, biconomy.com, bigone, binance us, bingx, bit, bit2me, bitbank, bitcastle, bitdelta, bitfinex, bitget, bitkan, bitkub, bitmart, bitrue, bitso, bitstamp, bitunix, bitvavo, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, dexalot, digifinex, earnbit, gate, grovex, hashkey exchange, hotcoin, htx, icrypex, kraken, latoken, lbank, mexc, nonkyc.io, okx, ourbit, p2b, phemex, pionex, pointpay, safebit, tapbit, toobit, tothemoon, trubit, weex, whitebit, xt.com, zoomex"
hyperliquid,9.0316,False,True,True,hyperliquid,"biconomy.com, bigone, binance us, bingx, bitfinex, bitget, bitkan, bitlo, bitmart, bitrue, bitso, bittime, bitunix, bitvavo, blofin, btcc, cex.io, coindcx, coinex, coins.ph, coinup.io, coinw, digifinex, foxbit, gate, giottus, hibt, hitbtc, hotcoin, hyperliquid, icrypex, kcex, korbit, lbank, mercado bitcoin, mexc, mudrex, novadax, ourbit, phemex, safebit, tapbit, weex, woo x, xbo.com, xt.com, zebpay"
figure-heloc,8.0326,False,False,False,provenance,figure markets
sui,9.1591,True,True,True,sui,"ascendex (bitmax), backpack exchange , biconomy.com, bigone, bingx, bit2me, bitbank, bitcastle, bitfinex, bitget, bitkan, bitrue, bitstamp, bitunix, bitvavo, blofin, bluefin, bullish, bvox, cetus, cex.io, coinbase exchange, coincatch, coinex, cointr, coinup.io, coinw, crypto.com exchange, dex-trade, digifinex, flowx clmm, gate, gate us, grovex, hibt, hotcoin, htx, kraken, lbank, magma finance, mexc, momentum, okx, orangex, ourbit, phemex, pionex, pointpay, tapbit, toobit, trubit, turbos finance, weex, whitebit, xt.com"
stellar,8.8066,True,True,True,stellar,"ascendex (bitmax), azbit, binance us, bingx, bit2me, bitbank, bitfinex, bitflyer, bitget, bitkan, bitkub, bitmart, bitrue, bitso, bitstamp, bitunix, bitvavo, blofin, bvox, bydfi, cex.io, coinbase exchange, coinex, coinmetro, coins.ph, cointr, coinup.io, coinw, crypto.com exchange, dex-trade, digifinex, earnbit, emirex, fameex, fastex, fmfw.io, gate, hibt, hotcoin, htx, indodax, kcex, kraken, latoken, lbank, mercado bitcoin, mexc, nami exchange, okx, ourbit, p2b, phemex, pionex, pointpay, poloniex, safebit, tapbit, tokocrypto, toobit, tothemoon, trubit, vvs finance, weex, whitebit, woo x, xbo.com, xt.com"
bitcoin-cash,8.8113,True,True,True,bitcoin-cash,"ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitbank, bitcastle, bitdelta, bitfinex, bitget, bitkan, bitkub, bitmart, bitrue, bitso, bitstamp, bitvavo, bullish, bvox, bydfi, cex.io, coinbase exchange, coincheck, coinex, coins.ph, cointr, coinup.io, coinw, cryptal, crypto.com exchange, deepcoin, dex-trade, digifinex, earnbit, ecxx, emirex, exmo, fameex, fastex, fmfw.io, gate, gemini, grovex, hotcoin, htx, kcex, koinpark, kraken, lbank, mexc, nami exchange, okj, okx, p2b, phemex, pionex, pointpay, poloniex, safebit, tapbit, tokocrypto, toobit, trubit, weex, whitebit, xt.com"
wrapped-eeth,8.1861,False,True,False,"avalanche, base, berachain, binance-smart-chain, blast, ethereum, hyperevm, initia, linea, mode, morph-l2, optimistic-ethereum, scroll, sonic, swellchain, unichain, zksync","aerodrome (base), aerodrome slipstream, balancer v2, balancer v2 (base), balancer v3 (base), balancer v3 (ethereum), beethoven x (optimism), bitget, blackhole v3, bulbaswap v2, bullish, curve (ethereum), deltaswap (base), derive (spot), etherex, fenix finance, gate, hydrex integral, iziswap (linea), iziswap (scroll), kim v4, kodiak v3, lfj v2.2 (avalanche), lynex, lynex v2 (linea), maverick protocol v1 (base), maverick protocol v1 (zksync), maverick protocol v2 (base), maverick protocol v2 (zksync era), nile, nuri v2, pancakeswap v3 (base), pancakeswap v3 (bsc), pancakeswap v3 (linea), syncswap, syncswap (linea), syncswap (scroll), syncswap v2.1 (linea), syncswap v2.1 (scroll), syncswap v2.1 (zksync), thirdfy, thruster v3, uniswap v3 (base), uniswap v3 (ethereum), uniswap v4 (base), uniswap v4 (unichain), velodrome finance slipstream (swellchain), velodrome finance v2 (mode), velodrome finance v2 (optimism)"
weth,8.8726,False,False,False,"ethereum, terra-2, tron","balancer v2, curve (ethereum), pancakeswap v3 (ethereum), sushiswap, uniswap v2 (ethereum), uniswap v3 (ethereum)"
crypto-com-chain,8.3831,False,False,True,ethereum,"ascendex (bitmax), azbit, bingx, bitget, bithumb, bitmart, bitunix, bitvavo, cex.io, changenow, coinbase exchange, coincatch, coinex, coinone, cointr, coinup.io, crypto.com exchange, digifinex, fameex, fastex, fmfw.io, gate, gate us, giottus, grovex, hitbtc, indodax, kcex, koinbx, kraken, latoken, lbank, mexc, novadax, okx, phemex, pionex, probit global, uniswap v4 (ethereum), upbit, upbit indonesia , xt.com"
the-open-network,8.7294,True,True,True,"binance-smart-chain, ethereum, the-open-network","ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitcastle, bitfinex, bitget, bitkan, bitmart, bitstorage, bitunix, blofin, btse, bullish, bvox, cex.io, coinex, coinup.io, coinw, crypto.com exchange, dedust, dex-trade, digifinex, exmo, fastex, gate, grovex, hibt, hotcoin, htx, kcex, kraken, lbank, mexc, nami exchange, nonkyc.io, okx, orangex, ourbit, pionex, pointpay, secondbtc, slex, ston.fi, ston.fi (v2), tapbit, tokocrypto, tokpie, toobit, tothemoon, uniswap v3 (bsc), uniswap v3 (ethereum), weex, whitebit, xt.com"
shiba-inu,8.6894,True,True,True,ethereum,"ascendex (bitmax), azbit, biconomy.com, binance us, bingx, bit, bit2me, bitazza, bitfinex, bitget, bitkan, bitmart, bitrue, bitstamp, bitstorage, bitvavo, blofin, btse, bvox, bydfi, cex.io, coinbase exchange, coincatch, coinex, cointr, coinup.io, coinw, coinzoom, crypto.com exchange, deepcoin, dex-trade, digifinex, fmfw.io, gate, gemini, grovex, hibt, hotcoin, htx, icrypex, kcex, kraken, latoken, lbank, mexc, nami exchange, nonkyc.io, okx, orangex, ourbit, p2b, phemex, pionex, poloniex, safebit, shibaswap (ethereum), slex, tapbit, tokocrypto, toobit, trubit, weex, whitebit, xbo.com, zoomex"
binance-bridged-usdt-bnb-smart-chain,9.0984,False,False,False,binance-smart-chain,"pancakeswap (stableswap), pancakeswap (v2), pancakeswap infinity clmm (bsc), pancakeswap v3 (bsc), squadswap wow (bsc), thena fusion, thena v3, uniswap v3 (bsc), uniswap v4 (bsc)"
ethena-staked-usde,8.3452,False,False,False,"aptos, arbitrum-one, avalanche, base, berachain, binance-smart-chain, blast, ethereum, fraxtal, hyperevm, kava, linea, manta-pacific, mantle, metis-andromeda, mode, morph-l2, optimistic-ethereum, scroll, solana, swellchain, the-open-network, x-layer, zircuit, zksync","agni finance, balancer v2, balancer v2 (base), balancer v3 (ethereum), baseswap v3, blackhole v3, curve (ethereum), curve (fraxtal), curve (hyperevm), derive (spot), fluid, fluid (arbitrum), fluid (ethereum) , kodiak v3, lfj v2.2 (avalanche), merchant moe liquidity book (mantle), meteora, orca, pharaoh exchange, ston.fi (v2), thruster v3, uniswap v2 (ethereum), uniswap v3 (avalanche), uniswap v3 (ethereum), uniswap v4 (arbitrum), uniswap v4 (base), uniswap v4 (ethereum), velodrome finance slipstream (fraxtal)"
whitebit,8.3739,False,False,False,"ethereum, tron","bitfinex, htx, mexc, whitebit"
dai,8.404,True,True,True,ethereum,"azbit, balancer v2, bancor (v2), bingx, bitbank, bitget, bitmart, bitrue, bitunix, bvox, cex.io, changelly pro, coinbase exchange, coincatch, coincheck, coinex, coinw, cryptal, curve (ethereum), defi swap, digifinex, emirex, exmo, fameex, gate, gemini, grovex, hitbtc, hotcoin, htx, kraken, lbank, maverick protocol v2 (ethereum), mexc, niza.io, okx, pancakeswap v3 (ethereum), phemex, pointpay, slex, sushiswap, tapbit, tokocrypto, tokpie, uniswap v2 (ethereum), uniswap v3 (ethereum), uniswap v4 (ethereum), xt.com"
memecore,8.1261,False,False,False,binance-smart-chain,"biconomy.com, bingx, bitget, bitkan, bitmart, btcc, digifinex, gate, hashkey global, hibt, hotcoin, htx, kraken, mexc, ourbit, pancakeswap v3 (bsc), uniswap v3 (bsc), uniswap v4 (bsc), xt.com, zebpay"
story-2,8.6398,False,True,True,story-2,"bingx, bitget, bithumb, bitkan, bitmart, bitrue, bitvavo, blofin, cex.io, coinbase exchange, coindcx, coinex, coinone, coinup.io, coinw, crypto.com exchange, digifinex, gate, hotcoin, htx, koinpark, kraken, lbank, mexc, okx, ourbit, phemex, tapbit, upbit, weex, xbo.com, xt.com"
ethena,8.7701,True,True,True,"arbitrum-one, avalanche, base, blast, ethereum, fraxtal, kava, manta-pacific, mantle, metis-andromeda, mode, morph-l2, optimistic-ethereum, scroll, swellchain, the-open-network, zircuit, zksync","aerodrome slipstream, arkham, ascendex (bitmax), backpack exchange , bigone, bingx, bitdelta, bitfinex, bitget, bitkan, bitkub, bitlo, bitmart, bitrue, bittime, bitunix, bitvavo, blofin, btse, bvox, cex.io, coinbase exchange, coinex, coins.ph, cointr, coinup.io, coinw, crypto.com exchange, digifinex, gate, grovex, hibt, hotcoin, htx, icrypex, kanga, kcex, kraken, lbank, lcx exchange, mercado bitcoin, mexc, nami exchange, novadax, okx, orangex, ourbit, phemex, pionex, pointpay, tapbit, tokocrypto, toobit, uniswap v3 (ethereum), uniswap v4 (ethereum), upbit, websea, weex, whitebit, woo x, xt.com, zoomex"
aave,8.7801,True,True,True,"arbitrum-one, avalanche, base, binance-smart-chain, energi, ethereum, fantom, harmony-shard-0, huobi-token, hydration, near-protocol, optimistic-ethereum, polygon-pos, sora","aerodrome slipstream, ascendex (bitmax), biconomy.com, bigone, bingx, bit2me, bitazza, bitcastle, bitcointry, bitdelta, bitget, bitkan, bitmart, bitrue, bitso, bitstamp, bittime, bitunix, bitvavo, btse, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, dex-trade, fmfw.io, gate, gemini, hibt, hotcoin, htx, icrypex, kcex, kraken, latoken, lbank, mercado bitcoin, mexc, okx, ourbit, p2b, pancakeswap v3 (arbitrum), pancakeswap v3 (base), phemex, pionex, pointpay, qmall, quickswap (v3), tanx, tapbit, toobit, trubit, uniswap v3 (arbitrum one), uniswap v3 (ethereum), uniswap v3 (polygon), weex, whitebit, xt.com, zoomex"
pepe,8.8222,True,True,True,"arbitrum-one, avalanche, binance-smart-chain, ethereum","arkham, ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitcointry, bitdelta, bitget, bitkan, bitmart, bitrue, bitso, bitstamp, bittime, bitvavo, blofin, btse, bvox, cex.io, coinbase exchange, coinex, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, fameex, foxbit, gate, gemini, grovex, hibt, hotcoin, htx, icrypex, indodax, kcex, kraken, latoken, lbank, mexc, nami exchange, okx, orangex, ourbit, phemex, pionex, poloniex, slex, tapbit, tokocrypto, toobit, tothemoon, uniswap v2 (ethereum), weex, whitebit, xbo.com, xt.com, zoomex"
okb,8.4468,False,False,False,"ethereum, okex-chain, sora","bingx, bitkan, bitmart, bitrue, bitunix, bydfi, changenow, coinex, coinw, gate, grovex, hotcoin, indodax, kcex, lbank, mexc, okj, okx, openocean, pionex, poloniex, probit global, qmall, tapbit, uniswap v2 (ethereum), uniswap v3 (ethereum), uniswap v4 (ethereum), websea, xt.com"
near,8.6051,True,True,True,ethereum,"ascendex (bitmax), azbit, biconomy.com, binance us, bingx, biswap, bit2me, bitazza, bitcastle, bitcointry, bitdelta, bitfinex, bitget, bitkan, bitkub, bitmart, bitrue, bitso, bitstamp, bitunix, bitvavo, btse, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, exmo, fameex, gate, hibt, hotcoin, htx, icrypex, indodax, kraken, latoken, lbank, mercado bitcoin, mexc, okx, ourbit, phemex, pointpay, qmall, sushiswap, tapbit, toobit, tothemoon, trubit, uniswap v3 (ethereum), weex, whitebit, xt.com"
bitget-token,8.6302,False,False,False,"ethereum, morph-l2","bitfinex, bitget, bulbaswap v2, changenow, dodo (ethereum), grovex, indodax, mexc, ourbit, uniswap v2 (ethereum)"
jito-staked-sol,8.2002,False,False,False,"katana, neon-evm, solana","bullish, coinbase exchange, gemini, invariant, kraken, lbank, manifest, meteora, okx, orca, pumpswap, raydium (clmm), stabble, xt.com"
bittensor,8.3444,True,False,True,bittensor,"bingx, bit2me, bitget, bithumb, bitkan, bitlo, bitmart, bitrue, bittime, bitvavo, btcc, coinbase exchange, coincatch, coinex, cointr, crypto.com exchange, cube, digifinex, gate, hibt, hotcoin, korbit, kraken, lbank, mercado bitcoin, mexc, mudrex, nami exchange, novadax, ourbit, phemex, pionex, tapbit, tokocrypto, weex, whitebit, xbo.com, xt.com, young platform"
aptos,8.6957,True,True,True,aptos,"backpack exchange , biconomy.com, bingx, bit2me, bitfinex, bitget, bitkan, bitmart, bitrue, bitunix, bitvavo, blofin, btse, bydfi, cex.io, coinbase exchange, coincatch, coinex, coinmetro, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, digifinex, earnium, fastex, gate, hashkey exchange, hibt, hotcoin, htx, hyperion, icrypex, kcex, kraken, lbank, liquidswap, liquidswap v0.5, mexc, nami exchange, okx, orangex, ourbit, pancakeswap (aptos), phemex, pionex, tapbit, tokocrypto, toobit, trubit, upbit, websea, weex, whitebit, xbo.com, xt.com"
ondo-finance,8.4678,True,True,True,ethereum,"arkham, ascendex (bitmax), biconomy.com, bigone, bingx, bitget, bitkan, bitlo, bitmart, bitrue, bitso, bitstamp, bittime, bitunix, bitvavo, blofin, btcc, btcmarkets, btcturk | kripto, bvox, cex.io, coinbase exchange, coincatch, coinex, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, fameex, gate, grovex, hibt, hotcoin, htx, inex, kanga, kcex, kraken, lbank, mercado bitcoin, mexc, nami exchange, niza.io, okx, orangex, ourbit, phemex, pionex, pointpay, tapbit, tokocrypto, toobit, tothemoon, trubit, uniswap v3 (ethereum), uniswap v4 (ethereum), upbit, websea, weex, whitebit, woo x, xbo.com, xt.com, young platform, zoomex"
ethereum-classic,8.3644,True,True,True,ethereum-classic,"ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitcastle, bitcointry, bitdelta, bitfinex, bitget, bitkan, bitmart, bitrue, bitstamp, bittime, bitvavo, blofin, bvox, bydfi, coinbase exchange, coincatch, coinex, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, earnbit, exmo, fameex, gate, grovex, hibt, hotcoin, htx, icrypex, kcex, koinpark, kraken, latoken, lbank, mexc, nami exchange, nonkyc.io, okx, phemex, pionex, pointpay, poloniex, qmall, tapbit, tokocrypto, toobit, trubit, weex, whitebit, woo x, xbo.com, xt.com"
usdt0,8.6474,False,False,False,"arbitrum-one, berachain, corn, flare-network, hyperevm, hyperliquid, ink, optimistic-ethereum, rootstock, sei-v2, unichain, x-layer","arbswap, camelot v3, curve (arbitrum), curve (hyperevm), dragonswap v2, enosys v3 (flare), fluid (arbitrum), gliquid, hx finance, hybra finance v3, hyperliquid, hyperswap v3, kittenswap algebra, kodiak v3, maverick protocol v2 (arbitrum), pancakeswap v3 (arbitrum), potatoswap (x layer) , project x, ramses v2, ramses v3 (hyperevm), solidly v3 (arbitrum), sparkdex v3.1, ultrasolid v3, uniswap v3 (arbitrum one), uniswap v3 (unichain), uniswap v4 (arbitrum), uniswap v4 (unichain), upheaval finance, velodrome finance slipstream (ink), velodrome finance slipstream (unichain), velodrome slipstream (optimism)"
worldcoin-wld,8.6295,True,True,True,"ethereum, optimistic-ethereum, world-chain","ascendex (bitmax), azbit, biconomy.com, bingx, bit, bit2me, bitazza, bitcastle, bitdelta, bitget, bithumb, bitkan, bitkub, bitmart, bitrue, bittime, bitunix, bitvavo, blofin, btse, bydfi, cex.io, coinbase exchange, coincatch, coinex, coins.ph, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, digifinex, fameex, gate, grovex, hata, hibt, hotcoin, htx, kanga, kcex, kraken, latoken, lcx exchange, mercado bitcoin, mexc, nami exchange, okx, orangex, ourbit, phemex, pionex, pointpay, safebit, tapbit, tokocrypto, toobit, trubit, uniswap v3 (optimism), uniswap v3 (world chain), uniswap v4 (ethereum), uniswap v4 (optimism), uniswap v4 (world chain), velodrome slipstream (optimism), vindax, weex, woo x, xbo.com, xt.com, zoomex"
binance-staked-sol,7.7938,True,False,False,solana,"meteora, orca, raydium (clmm)"
usd1-wlfi,8.7095,False,True,True,"binance-smart-chain, ethereum, solana, tron","bitget, bitmart, bitrue, coinup.io, coinw, gate, grovex, htx, kcex, kraken, lbank, meteora, mexc, native (bsc), nonkyc.io, orca, ourbit, pancakeswap (v2), pancakeswap infinity clmm (bsc), pancakeswap v3 (bsc), pancakeswap v3 (solana), phemex, raydium, raydium (clmm), sunswap v3, trubit, uniswap v3 (bsc), uniswap v3 (ethereum), uniswap v4 (bsc), xt.com"
aster-2,8.8456,False,True,False,binance-smart-chain,"aster, biconomy.com, bingx, bitkan, bitmart, bitrue, coinw, gate, hibt, hotcoin, htx, kcex, mexc, omni exchange v3 (bsc), ourbit, pancakeswap (v2), pancakeswap infinity clmm (bsc), pancakeswap v3 (bsc), poloniex, safebit, squadswap dynamo (bsc), uniswap v2 (bsc) , uniswap v3 (bsc), uniswap v4 (bsc), xt.com"
